Time,X,Y,Z,Roll,Pitch,Yaw
50123,-0.06726074,0.9603882,-0.21820068,-0.06933594,-0.13983154,-0.06878662
50134,-0.06726074,0.9603882,-0.21820068,-0.06933594,-0.13983154,-0.06878662
50143,-0.072143555,0.9517212,-0.19415283,-0.07067871,-0.1270752,-0.051818848
50154,-0.030639648,0.920105,-0.20581055,-0.07879639,-0.12365723,-0.052490234
50163,-0.030639648,0.920105,-0.20581055,-0.07879639,-0.12365723,-0.052490234
50175,-0.029541016,0.94384766,-0.22381592,-0.07324219,-0.12731934,-0.039855957
50183,-0.04119873,0.9633789,-0.215271,-0.07336426,-0.10992432,-0.07366943
50194,-0.059448242,0.94329834,-0.22991943,-0.07281494,-0.10986328,-0.07501221
50204,-0.059448242,0.94329834,-0.22991943,-0.07281494,-0.10986328,-0.07501221
50213,-0.030639648,0.94732666,-0.19555664,-0.07336426,-0.11126709,-0.10870361
50224,-0.022766113,0.93322754,-0.19830322,-0.0770874,-0.11785889,-0.07904053
50234,-0.011047363,0.9550781,-0.1807251,-0.08239746,-0.12512207,-0.087402344
50243,-0.011047363,0.9550781,-0.1807251,-0.08239746,-0.12512207,-0.087402344
50254,-0.018615723,0.9914551,-0.16027832,-0.08959961,-0.13482666,-0.08874512
50264,-0.026367188,0.9923706,-0.17132568,-0.08355713,-0.11755371,-0.08807373
50274,-0.047790527,0.9782715,-0.16125488,-0.07556152,-0.11651611,-0.09790039
50284,-0.047790527,0.9782715,-0.16125488,-0.07556152,-0.11651611,-0.09790039
50294,-0.06781006,0.9781494,-0.15826416,-0.07507324,-0.10614014,-0.08544922
50304,-0.07922363,1.0055542,-0.18182373,-0.066223145,-0.088134766,-0.08709717
50313,-0.07922363,1.0055542,-0.18182373,-0.066223145,-0.088134766,-0.08709717
50324,-0.086364746,1.0310059,-0.21447754,-0.04711914,-0.08251953,-0.09399414
50333,-0.0647583,1.0248413,-0.19238281,-0.01977539,-0.07562256,-0.11419678
50344,-0.076293945,1.0321655,-0.16888428,-0.016479492,-0.0803833,-0.11383057
50354,-0.076293945,1.0321655,-0.16888428,-0.016479492,-0.0803833,-0.11383057
50364,-0.05291748,1.0152588,-0.15740967,-0.007446289,-0.051635742,-0.09503174
50373,-0.030090332,0.998291,-0.16741943,-0.010620117,-0.059570312,-0.110839844
50384,-0.04272461,1.0159302,-0.18267822,-0.015563965,-0.0335083,-0.09088135
50394,-0.04272461,1.0159302,-0.18267822,-0.015563965,-0.0335083,-0.09088135
50405,-0.06793213,1.1210938,-0.2164917,-0.014831543,-0.03930664,-0.09429932
50413,-0.12359619,1.1726685,-0.12982178,-0.008850098,-0.024963379,-0.100097656
50424,-0.12359619,1.1726685,-0.12982178,-0.008850098,-0.024963379,-0.100097656
50434,-0.07098389,0.97125244,-0.08984375,0.026123047,0.019958496,-0.116760254
50444,-0.023620605,0.83410645,-0.16009521,0.00390625,0.015991211,-0.10858154
50453,0.006591797,0.8955078,-0.14038086,-0.015136719,-0.006958008,-0.08959961
50464,0.006591797,0.8955078,-0.14038086,-0.015136719,-0.006958008,-0.08959961
50474,-0.011230469,0.9685669,-0.111083984,-0.02935791,1.2207031E-4,-0.091430664
50484,-0.051513672,1.0650024,-0.14422607,-0.04107666,-0.037109375,-0.08673096
50494,-0.07147217,1.0776978,-0.1161499,-0.045532227,0.008483887,-0.0637207
50503,-0.07147217,1.0776978,-0.1161499,-0.045532227,0.008483887,-0.0637207
50514,-0.08099365,1.0297852,-0.14001465,-0.009338379,0.024841309,-0.07086182
50524,-0.051513672,0.98602295,-0.11682129,-0.0036010742,0.042053223,-0.07470703
50533,-0.051513672,0.98602295,-0.11682129,-0.0036010742,0.042053223,-0.07470703
50544,-0.045043945,0.916626,-0.086242676,-0.0026855469,0.05908203,-0.09277344
50554,-0.055603027,0.91174316,-0.12347412,-0.010253906,0.044433594,-0.047668457
50564,-0.09210205,1.0352173,-0.14953613,-0.015380859,0.031677246,-0.088378906
50573,-0.09210205,1.0352173,-0.14953613,-0.015380859,0.031677246,-0.088378906
50584,-0.08343506,1.170166,-0.16711426,0.008056641,0.0625,-0.08050537
50594,-0.03918457,1.0719604,-0.16931152,0.070495605,0.059631348,-0.08319092
50604,-0.06378174,0.90844727,-0.13354492,0.0881958,0.07409668,-0.07348633
50613,-0.06378174,0.90844727,-0.13354492,0.0881958,0.07409668,-0.07348633
50624,-0.11431885,0.8510742,-0.13873291,0.05633545,0.07220459,-0.09887695
50634,-0.14367676,0.854187,-0.23822021,0.040100098,0.1003418,-0.09008789
50643,-0.14367676,0.854187,-0.23822021,0.040100098,0.1003418,-0.09008789
50654,-0.13067627,0.99780273,-0.18560791,0.028686523,0.11517334,-0.101501465
50664,-0.08856201,1.0039062,-0.17034912,0.03265381,0.14031982,-0.08862305
50674,-0.0982666,0.9598999,-0.1671753,0.03918457,0.15838623,-0.10101318
50683,-0.0982666,0.9598999,-0.1671753,0.03918457,0.15838623,-0.10101318
50694,-0.09576416,0.91638184,-0.19799805,0.026428223,0.17938232,-0.0859375
50704,-0.123168945,0.87249756,-0.1296997,0.0048217773,0.1828003,-0.091796875
50713,-0.12512207,0.9505005,-0.13494873,-0.017578125,0.20367432,-0.07208252
50724,-0.12512207,0.9505005,-0.13494873,-0.017578125,0.20367432,-0.07208252
50734,-0.10003662,1.0577393,-0.18304443,-0.0016479492,0.21569824,-0.08050537
50744,-0.060791016,1.0665894,-0.19586182,-0.003112793,0.2185669,-0.08831787
50754,-0.060791016,1.0665894,-0.19586182,-0.003112793,0.2185669,-0.08831787
50763,-0.07928467,0.9892578,-0.121520996,0.0029907227,0.2130127,-0.07775879
50774,-0.1149292,0.9641113,-0.12432861,-0.00579834,0.23065186,-0.06604004
50784,-0.10217285,0.96221924,-0.1296997,-0.0056762695,0.23828125,-0.06677246
50794,-0.10217285,0.96221924,-0.1296997,-0.0056762695,0.23828125,-0.06677246
50804,-0.09313965,0.97442627,-0.0947876,0.0025024414,0.28692627,-0.062683105
50814,-0.06616211,0.9801636,-0.07714844,0.016601562,0.27105713,-0.07739258
50824,-0.03149414,0.9661255,-0.0814209,0.026123047,0.27282715,-0.09753418
50833,-0.03149414,0.9661255,-0.0814209,0.026123047,0.27282715,-0.09753418
50844,0.012939453,0.99194336,-0.11004639,0.030578613,0.26281738,-0.101501465
50854,0.0592041,1.0241699,-0.13842773,0.04547119,0.24090576,-0.1237793
50863,0.06317139,1.0317993,-0.12957764,0.055419922,0.21716309,-0.1305542
50874,0.06317139,1.0317993,-0.12957764,0.055419922,0.21716309,-0.1305542
50884,0.092285156,1.0376587,-0.13983154,0.053771973,0.20495605,-0.13183594
50894,0.11816406,1.0484009,-0.13946533,0.06274414,0.15777588,-0.1395874
50903,0.11816406,1.0484009,-0.13946533,0.06274414,0.15777588,-0.1395874
50914,0.10015869,1.0239868,-0.15783691,0.086242676,0.12005615,-0.14379883
50924,0.064575195,1.0078125,-0.17333984,0.093688965,0.07147217,-0.14501953
50934,0.030456543,0.99902344,-0.1720581,0.10797119,0.033996582,-0.14746094
50944,0.030456543,0.99902344,-0.1720581,0.10797119,0.033996582,-0.14746094
50953,0.016357422,0.98132324,-0.18682861,0.123046875,0.008422852,-0.13787842
50964,-0.0032958984,0.95928955,-0.203125,0.10498047,-0.016967773,-0.12011719
50974,-0.009216309,0.92333984,-0.19030762,0.10345459,-0.047790527,-0.11199951
50984,-0.009216309,0.92333984,-0.19030762,0.10345459,-0.047790527,-0.11199951
50993,-0.020629883,0.91278076,-0.20397949,0.09320068,-0.07330322,-0.10040283
51010,-0.049072266,0.9163208,-0.21038818,0.07141113,-0.09716797,-0.10241699
51014,-0.05810547,0.90826416,-0.21795654,0.066589355,-0.10638428,-0.072753906
51024,-0.05810547,0.90826416,-0.21795654,0.066589355,-0.10638428,-0.072753906
51034,-0.057006836,0.90582275,-0.19580078,0.05114746,-0.11657715,-0.053710938
51043,-0.057006836,0.90582275,-0.19580078,0.05114746,-0.11657715,-0.053710938
51054,-0.05847168,0.9031372,-0.17370605,0.033813477,-0.13977051,-0.052368164
51064,-0.07305908,0.9199829,-0.18939209,0.008728027,-0.113342285,-0.056762695
51073,-0.07836914,0.961853,-0.19238281,-0.0021362305,-0.124938965,-0.036865234
51084,-0.07836914,0.961853,-0.19238281,-0.0021362305,-0.124938965,-0.036865234
51094,-0.09710693,0.973999,-0.16522217,-0.010498047,-0.13916016,-0.03857422
51104,-0.078308105,0.97314453,-0.15783691,-0.01550293,-0.14624023,-0.049072266
51114,-0.06378174,0.97021484,-0.1696167,-0.014892578,-0.13336182,-0.032592773
51124,-0.06378174,0.97021484,-0.1696167,-0.014892578,-0.13336182,-0.032592773
51134,-0.05633545,0.9625244,-0.16925049,-0.027832031,-0.12866211,-0.044799805
51144,-0.07659912,0.96972656,-0.1687622,-0.022827148,-0.14642334,-0.033569336
51153,-0.10443115,0.99072266,-0.16638184,-0.010559082,-0.14605713,-0.041931152
51164,-0.10443115,0.99072266,-0.16638184,-0.010559082,-0.14605713,-0.041931152
51174,-0.11578369,1.0005493,-0.15179443,-0.02545166,-0.13458252,-0.045288086
51184,-0.1217041,0.98095703,-0.15478516,0.0013427734,-0.14337158,-0.07006836
51193,-0.1217041,0.98095703,-0.15478516,0.0013427734,-0.14337158,-0.07006836
51204,-0.12670898,0.94488525,-0.14685059,0.022644043,-0.12597656,-0.061035156
51214,-0.13104248,0.93341064,-0.15435791,0.026123047,-0.09161377,-0.07519531
51224,-0.19122314,0.91918945,-0.106933594,0.0012207031,-0.04748535,-0.07757568
51234,-0.19122314,0.91918945,-0.106933594,0.0012207031,-0.04748535,-0.07757568
51243,-0.2579956,0.9481201,-0.105163574,0.009887695,-0.002319336,-0.07171631
51254,-0.32391357,0.95703125,-0.13153076,0.010375977,0.054748535,-0.07421875
51264,-0.36462402,0.9834595,-0.14477539,0.012084961,0.08648682,-0.10736084
51274,-0.36462402,0.9834595,-0.14477539,0.012084961,0.08648682,-0.10736084
