Time,X,Y,Z,Roll,Pitch,Yaw
1722,-0.030273438,0.9650879,-0.027038574,0.07519531,-0.20397949,-0.05682373
1729,-0.030273438,0.9650879,-0.027038574,0.07519531,-0.20397949,-0.05682373
1737,-0.03375244,0.9733887,-0.0076904297,0.07745361,-0.17022705,-0.04058838
1748,-0.028076172,0.9898071,-0.0029296875,0.07556152,-0.16992188,-0.04071045
1757,-0.028076172,0.9898071,-0.0029296875,0.07556152,-0.16992188,-0.04071045
1768,-0.008972168,1.0180664,0.011169434,0.07434082,-0.16577148,-0.028442383
1777,-0.014770508,1.0256958,0.036193848,0.07989502,-0.17156982,-0.03869629
1788,-0.02520752,1.0263672,0.034484863,0.08001709,-0.16601562,-0.034240723
1797,-0.010314941,1.0274658,0.0049438477,0.09106445,-0.16589355,-0.028625488
1808,-0.03857422,1.0079956,-0.0028076172,0.09625244,-0.14898682,-0.033081055
1817,-0.03857422,1.0079956,-0.0028076172,0.09625244,-0.14898682,-0.033081055
1828,-0.05908203,0.99468994,-0.026855469,0.09790039,-0.1194458,-0.026245117
1837,-0.047973633,1.0007324,-0.024536133,0.095947266,-0.11425781,-0.026550293
1848,-0.03149414,0.99871826,-0.012145996,0.0949707,-0.10101318,-0.026550293
1857,-0.030517578,0.99798584,0.0061035156,0.099853516,-0.09448242,-0.024658203
1868,-0.030517578,0.99798584,0.0061035156,0.099853516,-0.09448242,-0.024658203
1877,-0.015197754,0.98413086,2.4414062E-4,0.10687256,-0.08544922,-0.025024414
1888,-0.0048217773,0.98413086,-0.008239746,0.11657715,-0.076293945,-0.030944824
1897,-0.01953125,0.98101807,-0.018920898,0.11590576,-0.06317139,-0.034423828
1908,-0.029541016,0.9711304,-0.021057129,0.11767578,-0.055725098,-0.04260254
1917,-0.029541016,0.9711304,-0.021057129,0.11767578,-0.055725098,-0.04260254
1928,-0.03149414,0.9841919,-0.025634766,0.11834717,-0.055419922,-0.0501709
1937,-0.02734375,0.98101807,-0.016845703,0.122802734,-0.06225586,-0.058166504
1948,-0.02178955,0.9777832,-0.024169922,0.12530518,-0.06225586,-0.0602417
1957,-0.024475098,0.9663086,-0.030761719,0.13024902,-0.05340576,-0.0602417
1968,-0.024475098,0.9663086,-0.030761719,0.13024902,-0.05340576,-0.0602417
1977,-0.03845215,0.9543457,-0.050598145,0.13232422,-0.04901123,-0.05480957
1988,-0.053344727,0.9421997,-0.0690918,0.13171387,-0.040649414,-0.04827881
1997,-0.060424805,0.9394531,-0.07336426,0.122680664,-0.01739502,-0.032958984
2008,-0.048950195,0.9611206,-0.07293701,0.11621094,-0.0017700195,-0.026672363
