Time,X,Y,Z,Roll,Pitch,Yaw
1590,-0.012023926,0.98535156,0.109558105,-0.055358887,-0.09307861,-0.023620605
1599,-0.028686523,0.9907837,0.122680664,-0.05682373,-0.10430908,-0.029296875
1610,-0.028686523,0.9907837,0.122680664,-0.05682373,-0.10430908,-0.029296875
1620,-0.025634766,0.99902344,0.11859131,-0.068847656,-0.10449219,-0.017700195
1630,-0.0031738281,0.98321533,0.08508301,-0.072143555,-0.10803223,-0.019836426
1640,0.009521484,0.9873657,0.10308838,-0.08807373,-0.09069824,-0.022583008
1649,0.009521484,0.9873657,0.10308838,-0.08807373,-0.09069824,-0.022583008
1660,-3.0517578E-4,0.9980469,0.13812256,-0.09814453,-0.105041504,-0.0234375
1670,-0.031677246,1.0061646,0.14813232,-0.10119629,-0.13201904,-0.0178833
1679,-0.031677246,1.0061646,0.14813232,-0.10119629,-0.13201904,-0.0178833
1690,-0.061279297,0.9849243,0.13916016,-0.1005249,-0.13842773,-0.016479492
1699,-0.08514404,0.954834,0.118774414,-0.09954834,-0.09893799,-0.017700195
1710,-0.107299805,0.92266846,0.101989746,-0.08929443,-0.08496094,-0.02557373
1719,-0.107299805,0.92266846,0.101989746,-0.08929443,-0.08496094,-0.02557373
1730,-0.11364746,0.9194946,0.07751465,-0.08666992,-0.068359375,-0.036010742
1739,-0.103393555,0.93133545,0.06866455,-0.09643555,-0.056518555,-0.027526855
1750,-0.0904541,0.95288086,0.091308594,-0.10772705,-0.047058105,-0.01159668
1759,-0.0904541,0.95288086,0.091308594,-0.10772705,-0.047058105,-0.01159668
1770,-0.040527344,0.95648193,0.121032715,-0.10559082,-0.069885254,0.006713867
1779,-0.07849121,0.9163208,0.11871338,-0.08874512,-0.07269287,-0.021606445
1790,-0.06866455,0.9316406,0.10949707,-0.08557129,-0.06506348,-0.035705566
1799,-0.06866455,0.9316406,0.10949707,-0.08557129,-0.06506348,-0.035705566
1810,-0.074401855,1.0080566,0.13098145,-0.09118652,-0.08691406,-0.03930664
1819,-0.06890869,1.0661621,0.14038086,-0.10498047,-0.084350586,-0.018188477
1830,-0.06890869,1.0661621,0.14038086,-0.10498047,-0.084350586,-0.018188477
1839,-0.08074951,1.0727539,0.15924072,-0.11431885,-0.08935547,-0.0024414062
1850,-0.07727051,1.0362549,0.17175293,-0.11407471,-0.096069336,0.01965332
1859,-0.060668945,0.95880127,0.18499756,-0.10821533,-0.09509277,0.0289917
1870,-0.060668945,0.95880127,0.18499756,-0.10821533,-0.09509277,0.0289917
1879,-0.048095703,0.9262085,0.17938232,-0.10546875,-0.097229004,0.03466797
1890,-0.028869629,0.9133301,0.16644287,-0.10760498,-0.08117676,0.03894043
1899,0.014587402,0.9282837,0.17297363,-0.10424805,-0.03161621,0.037719727
1910,0.014587402,0.9282837,0.17297363,-0.10424805,-0.03161621,0.037719727
1919,0.046020508,0.93963623,0.18292236,-0.11639404,-0.04321289,0.026794434
1930,0.054260254,0.9456177,0.2130127,-0.11816406,-0.02331543,0.026916504
1939,0.054260254,0.9456177,0.2130127,-0.11816406,-0.02331543,0.026916504
1950,0.06500244,0.94104004,0.21582031,-0.12432861,-0.037475586,0.014160156
1959,0.068725586,0.94104004,0.2456665,-0.12945557,-0.062072754,-0.0012207031
1970,0.054992676,0.94873047,0.2578125,-0.12762451,-0.059020996,-0.004333496
1979,0.054992676,0.94873047,0.2578125,-0.12762451,-0.059020996,-0.004333496
1990,0.033569336,0.94189453,0.2635498,-0.12261963,-0.06652832,-0.014099121
1999,0.020568848,0.94744873,0.29284668,-0.12463379,-0.07525635,-0.026550293
2010,0.0057373047,0.9645996,0.32470703,-0.12487793,-0.10614014,-0.033569336
2019,0.0057373047,0.9645996,0.32470703,-0.12487793,-0.10614014,-0.033569336
2030,0.008911133,0.97387695,0.32757568,-0.12261963,-0.12841797,-0.04095459
2039,0.0072021484,0.9909668,0.34539795,-0.117614746,-0.14733887,-0.042053223
2050,0.00579834,0.9985962,0.36108398,-0.110839844,-0.14337158,-0.039611816
2059,0.00579834,0.9985962,0.36108398,-0.110839844,-0.14337158,-0.039611816
2070,0.0010375977,0.9833374,0.39990234,-0.09863281,-0.17584229,-0.039123535
2079,-0.016906738,0.9584961,0.40649414,-0.084350586,-0.17712402,-0.057495117
2090,-0.01928711,0.9487915,0.395813,-0.070251465,-0.17803955,-0.056152344
2099,-0.01928711,0.9487915,0.395813,-0.070251465,-0.17803955,-0.056152344
2110,-0.02532959,0.95202637,0.3336792,-0.052856445,-0.17840576,-0.053955078
