Time,X,Y,Z,Roll,Pitch,Yaw
19619,-0.08148193,1.215332,-0.0670166,0.2902832,0.15905762,-0.028503418
19628,-0.07159424,1.0849609,0.023498535,0.29107666,0.22607422,0.0061035156
19639,-0.07159424,1.0849609,0.023498535,0.29107666,0.22607422,0.0061035156
19650,0.012756348,0.9020996,0.037475586,0.31152344,0.28393555,0.034851074
19658,0.08319092,0.7819214,0.033081055,0.32385254,0.30871582,0.053833008
19669,0.16101074,0.7150879,0.047302246,0.32885742,0.29736328,0.0569458
19679,0.16101074,0.7150879,0.047302246,0.32885742,0.29736328,0.0569458
19688,0.26434326,0.6887207,-0.014953613,0.322937,0.22644043,0.05706787
19699,0.3788452,0.70513916,-0.022766113,0.31292725,0.16296387,0.053710938
19709,0.49194336,0.7553711,-0.05102539,0.3092041,0.09899902,0.049682617
19719,0.49194336,0.7553711,-0.05102539,0.3092041,0.09899902,0.049682617
19728,0.54107666,0.86279297,-0.07543945,0.29699707,0.07397461,0.02911377
19739,0.6369629,0.9449463,-0.064941406,0.30078125,0.029968262,-0.02532959
19748,0.6369629,0.9449463,-0.064941406,0.30078125,0.029968262,-0.02532959
19759,0.5762329,1.0454712,-0.13433838,0.28149414,0.00982666,-0.052368164
19768,0.39660645,1.053894,-0.13250732,0.3201294,-4.272461E-4,-0.11743164
19779,0.2913208,1.0261841,-0.17510986,0.32617188,-0.022216797,-0.13342285
19788,0.2913208,1.0261841,-0.17510986,0.32617188,-0.022216797,-0.13342285
19799,0.18701172,0.98895264,-0.15667725,0.3088379,-0.01159668,-0.1716919
19808,0.10723877,0.9673462,-0.13903809,0.26916504,0.017028809,-0.14434814
19819,0.09844971,0.9553833,-0.14697266,0.23364258,0.04119873,-0.140625
19828,0.09844971,0.9553833,-0.14697266,0.23364258,0.04119873,-0.140625
19839,0.13397217,0.9550171,-0.13372803,0.20056152,0.057128906,-0.13842773
19848,0.14337158,0.97735596,-0.12207031,0.1887207,0.097473145,-0.14837646
19859,0.14337158,0.97735596,-0.12207031,0.1887207,0.097473145,-0.14837646
19868,0.140625,0.98413086,-0.09893799,0.18670654,0.1239624,-0.1574707
19879,0.14215088,0.99346924,-0.08404541,0.20355225,0.16760254,-0.18267822
19889,0.11480713,1.0006714,-0.10864258,0.24005127,0.1854248,-0.23162842
19899,0.11480713,1.0006714,-0.10864258,0.24005127,0.1854248,-0.23162842
19908,0.049804688,0.95581055,-0.1105957,0.25805664,0.21984863,-0.2614746
19919,0.0052490234,0.9273071,-0.10888672,0.27062988,0.23516846,-0.26611328
19928,-0.014770508,0.9060669,-0.066711426,0.27130127,0.24859619,-0.29516602
19939,-0.014770508,0.9060669,-0.066711426,0.27130127,0.24859619,-0.29516602
19948,-0.10998535,0.93444824,-0.12176514,0.32434082,0.2722168,-0.29455566
19959,-0.11651611,0.8774414,-0.14257812,0.3166504,0.27264404,-0.27563477
19969,-0.0034179688,0.8267822,-0.11798096,0.31256104,0.2750244,-0.26239014
19979,-0.0034179688,0.8267822,-0.11798096,0.31256104,0.2750244,-0.26239014
19988,0.12261963,0.83135986,-0.11529541,0.30981445,0.21746826,-0.2444458
19999,0.27886963,0.8821411,-0.09466553,0.33221436,0.13867188,-0.260437
20008,0.27886963,0.8821411,-0.09466553,0.33221436,0.13867188,-0.260437
20027,0.27886963,0.8821411,-0.09466553,0.33221436,0.13867188,-0.260437
20029,0.24432373,0.942749,-0.1071167,0.4133911,0.11303711,-0.3312378
20040,0.24432373,0.942749,-0.1071167,0.4133911,0.11303711,-0.3312378
20049,0.12731934,0.9006958,-0.059387207,0.38513184,-0.09649658,-0.30041504
20058,0.12731934,0.9006958,-0.059387207,0.38513184,-0.09649658,-0.30041504
20069,0.11706543,0.8369751,-0.04425049,0.40307617,-0.15985107,-0.2925415
20078,0.0871582,0.75109863,-0.044311523,0.4263916,-0.22180176,-0.3048706
20089,0.037475586,0.6630249,-0.04827881,0.42993164,-0.28729248,-0.34350586
20098,0.037475586,0.6630249,-0.04827881,0.42993164,-0.28729248,-0.34350586
20109,-0.015563965,0.6445923,-0.0982666,0.43902588,-0.35601807,-0.34387207
20119,-0.053955078,0.59576416,-0.11804199,0.4607544,-0.36151123,-0.34094238
20128,-0.10797119,0.5974121,-0.14556885,0.48156738,-0.35546875,-0.3449707
20139,-0.14697266,0.6272583,-0.22784424,0.5007324,-0.3392334,-0.34906006
20148,-0.14697266,0.6272583,-0.22784424,0.5007324,-0.3392334,-0.34906006
20159,-0.1873169,0.6357422,-0.29919434,0.49493408,-0.33544922,-0.33270264
20169,-0.20904541,0.5673828,-0.29711914,0.48199463,-0.35308838,-0.31976318
20178,-0.21331787,0.53271484,-0.32684326,0.42108154,-0.42559814,-0.29345703
20189,-0.17956543,0.46136475,-0.3564453,0.36157227,-0.46118164,-0.2515869
20198,-0.17956543,0.46136475,-0.3564453,0.36157227,-0.46118164,-0.2515869
20209,-0.18426514,0.37628174,-0.34350586,0.303833,-0.44592285,-0.20831299
20219,-0.23352051,0.394104,-0.32440186,0.24682617,-0.35095215,-0.16601562
20229,-0.2616577,0.4331665,-0.34228516,0.17687988,-0.16186523,-0.1362915
20239,-0.33477783,0.41149902,-0.32904053,0.11505127,0.12414551,-0.13354492
20248,-0.41375732,0.4613037,-0.3526001,0.13623047,0.36523438,-0.103027344
20259,-0.41375732,0.4613037,-0.3526001,0.13623047,0.36523438,-0.103027344
20269,-0.4845581,0.5640869,-0.36749268,0.10467529,0.49829102,-0.036743164
20279,-0.42230225,0.79052734,-0.3635254,0.020019531,0.5192871,0.031799316
20289,-0.38275146,1.2001343,-0.32495117,-0.16448975,0.43139648,0.101867676
20298,-0.42797852,1.7334595,-0.1182251,-0.40100098,0.24975586,0.2982788
20309,-0.42797852,1.7334595,-0.1182251,-0.40100098,0.24975586,0.2982788
20319,-0.11566162,1.9987793,0.17895508,-0.74346924,-0.13122559,0.5182495
20329,0.413208,1.9987793,0.9421387,-0.87323,-0.4864502,0.7098999
20339,1.0545044,1.9987793,1.0922852,-0.59539795,-0.68566895,0.6536865
20348,1.2734985,1.9988403,1.6026001,-0.22796631,-0.583374,0.6845703
