Time,X,Y,Z,Roll,Pitch,Yaw
5618,0.19897461,0.50427246,-0.6547241,-0.5111084,0.4071045,-0.07397461
5626,0.20892334,0.49273682,-0.37609863,-0.59680176,0.057006836,-0.093322754
5636,0.20892334,0.49273682,-0.37609863,-0.59680176,0.057006836,-0.093322754
5647,0.28253174,0.5222168,-0.24920654,-0.5953369,0.0063476562,-0.0635376
5657,0.24822998,0.55841064,-0.06750488,-0.49224854,0.16235352,-0.06317139
5667,0.15350342,0.6694946,-0.11273193,-0.36676025,0.3234253,-0.06719971
5676,0.15350342,0.6694946,-0.11273193,-0.36676025,0.3234253,-0.06719971
5687,0.13348389,0.7374878,-0.039489746,-0.3036499,0.49102783,-0.06817627
5697,0.055358887,0.72076416,-0.01928711,-0.23736572,0.5791626,-0.08135986
5707,0.055358887,0.72076416,-0.01928711,-0.23736572,0.5791626,-0.08135986
5716,0.012634277,0.68865967,0.0034179688,-0.1574707,0.5620117,-0.078063965
5726,0.019104004,0.57354736,0.008605957,-0.06958008,0.45013428,-0.059143066
5737,0.10925293,0.4638672,-0.082458496,-0.0036621094,0.34161377,-9.1552734E-4
5747,0.10925293,0.4638672,-0.082458496,-0.0036621094,0.34161377,-9.1552734E-4
5756,0.19567871,0.37963867,-0.15704346,0.007873535,0.21026611,0.02166748
5766,0.30914307,0.2786255,-0.20050049,-0.024719238,0.056518555,0.030395508
5777,0.4376831,0.2086792,-0.27716064,-0.04559326,-0.05609131,0.011291504
5787,0.4376831,0.2086792,-0.27716064,-0.04559326,-0.05609131,0.011291504
5797,0.54071045,0.3102417,-0.33874512,-0.044433594,-0.16937256,-0.008483887
5807,0.62768555,0.5385742,-0.40148926,-0.014770508,-0.26507568,-0.020996094
5816,0.62768555,0.5385742,-0.40148926,-0.014770508,-0.26507568,-0.020996094
5826,0.817749,0.74645996,-0.42285156,0.0029296875,-0.32928467,0.0024414062
5837,0.69207764,0.9624634,-0.29205322,0.01184082,-0.37261963,0.0022583008
5847,0.48425293,1.0244141,-0.10235596,0.0020751953,-0.44171143,-0.039916992
5856,0.48425293,1.0244141,-0.10235596,0.0020751953,-0.44171143,-0.039916992
5866,0.30718994,1.0871582,-0.011169434,-0.04852295,-0.53015137,-0.054870605
5877,0.22363281,1.0546875,0.05407715,-0.09136963,-0.55023193,-0.052368164
5887,0.16705322,0.8397827,0.12896729,-0.08569336,-0.5008545,-0.084228516
5897,0.16705322,0.8397827,0.12896729,-0.08569336,-0.5008545,-0.084228516
5906,0.020324707,0.90582275,0.088378906,-0.014160156,-0.37963867,-0.11242676
5917,-0.12982178,0.9434204,0.057373047,0.08728027,-0.21551514,-0.14569092
5927,-0.27593994,0.94140625,0.021606445,0.18640137,-0.047668457,-0.16394043
5937,-0.27593994,0.94140625,0.021606445,0.18640137,-0.047668457,-0.16394043
5947,-0.3890381,0.8220215,0.03326416,0.26800537,-0.030273438,-0.17779541
5956,-0.29125977,0.63165283,-0.05908203,0.32336426,-0.07006836,-0.119628906
5966,-0.29125977,0.63165283,-0.05908203,0.32336426,-0.07006836,-0.119628906
5977,-0.16046143,0.31933594,-0.06536865,0.33502197,-0.044799805,-0.092041016
