Time,X,Y,Z,Roll,Pitch,Yaw
1251758,-0.1071167,0.9500122,0.21356201,0.18286133,1.2659912,-0.25604248
1251765,-0.11456299,0.96276855,0.28094482,0.1428833,1.3699951,-0.19403076
1251776,-0.085632324,1.0601807,0.26263428,0.13354492,1.477417,-0.12347412
1251785,-0.085632324,1.0601807,0.26263428,0.13354492,1.477417,-0.12347412
1251796,-0.082092285,1.0778809,0.2163086,0.121032715,1.5175171,-0.08880615
1251805,-0.032165527,0.9885864,0.21051025,0.0970459,1.5321655,-0.033203125
1251816,0.047851562,0.91186523,0.1975708,0.05267334,1.5245972,0.029174805
1251826,0.047851562,0.91186523,0.1975708,0.05267334,1.5245972,0.029174805
1251835,0.1984253,0.8748169,0.22137451,-0.0134887695,1.5084229,0.1227417
1251845,0.3515625,0.84375,0.2524414,-0.03692627,1.4899902,0.1807251
1251856,0.4658203,0.79071045,0.25500488,-0.052246094,1.4697876,0.20080566
1251865,0.4658203,0.79071045,0.25500488,-0.052246094,1.4697876,0.20080566
1251876,0.54260254,0.80249023,0.2857666,-0.042907715,1.4052124,0.18377686
1251885,0.57696533,0.828125,0.25683594,-0.03894043,1.305542,0.15307617
1251895,0.57696533,0.828125,0.25683594,-0.03894043,1.305542,0.15307617
1251905,0.58306885,0.91070557,0.20654297,-0.029785156,1.1577148,0.105407715
1251916,0.5024414,0.9902954,0.12823486,-0.027404785,1.0474243,0.058532715
1251926,0.34906006,1.0387573,0.059326172,-0.015075684,1.0236816,-0.0072631836
1251936,0.34906006,1.0387573,0.059326172,-0.015075684,1.0236816,-0.0072631836
1251946,0.21466064,1.0253906,0.019836426,-0.009155273,1.0359497,-0.0345459
1251955,0.07208252,0.98046875,0.049804688,0.009033203,1.0914917,-0.04058838
1251965,-0.016479492,0.88671875,0.074523926,0.018615723,1.1501465,-0.025939941
1251976,-0.016479492,0.88671875,0.074523926,0.018615723,1.1501465,-0.025939941
1251986,-0.021484375,0.8057251,0.114990234,0.013916016,1.2092285,0.01361084
1251996,0.027404785,0.7852783,0.1850586,-0.01977539,1.2388916,0.058898926
1252006,0.11230469,0.80895996,0.2543335,-0.040649414,1.2523804,0.09991455
1252015,0.11230469,0.80895996,0.2543335,-0.040649414,1.2523804,0.09991455
1252025,0.20031738,0.86450195,0.31976318,-0.024597168,1.2914429,0.11541748
1252036,0.26171875,0.92614746,0.32574463,0.0040283203,1.3122559,0.14154053
1252046,0.3137207,0.96588135,0.33111572,0.037109375,1.3010864,0.11621094
1252056,0.3137207,0.96588135,0.33111572,0.037109375,1.3010864,0.11621094
1252066,0.37878418,1.0041504,0.33135986,0.03186035,1.2906494,0.10180664
1252075,0.41174316,1.0186157,0.30200195,0.060302734,1.2540283,0.064819336
1252085,0.41174316,1.0186157,0.30200195,0.060302734,1.2540283,0.064819336
1252096,0.40264893,1.0371704,0.25195312,0.0692749,1.2321167,0.038757324
1252106,0.32232666,1.038269,0.2098999,0.072021484,1.1762695,0.012634277
1252115,0.22998047,1.0446777,0.17834473,0.08312988,1.1577148,-0.024658203
1252125,0.22998047,1.0446777,0.17834473,0.08312988,1.1577148,-0.024658203
1252136,0.13726807,0.9973755,0.22906494,0.09429932,1.2043457,-0.029174805
1252146,-0.0017089844,0.99957275,0.27368164,0.1348877,1.2608643,-0.027954102
1252155,0.06726074,1.0071411,0.286438,0.17193604,1.3151245,-0.023742676
1252165,0.06726074,1.0071411,0.286438,0.17193604,1.3151245,-0.023742676
1252176,0.0071411133,0.9932251,0.2821045,0.19354248,1.3469238,-0.026123047
1252186,-0.027160645,0.9667969,0.27288818,0.20794678,1.3959961,-0.02935791
1252196,-0.03918457,1.0291138,0.29473877,0.20922852,1.4681396,-0.026123047
1252206,-0.03918457,1.0291138,0.29473877,0.20922852,1.4681396,-0.026123047
1252215,-0.07104492,1.0742798,0.3279419,0.22930908,1.5219727,-0.026550293
1252225,-0.07043457,1.0964966,0.35992432,0.26324463,1.5649414,-0.01727295
1252236,-0.06274414,1.1141357,0.3887329,0.30065918,1.6315308,-0.0068969727
1252246,-0.06274414,1.1141357,0.3887329,0.30065918,1.6315308,-0.0068969727
1252256,-0.02758789,1.0791626,0.4008789,0.3283081,1.6773071,-0.0032958984
1252266,-0.006225586,1.0083618,0.38635254,0.3536377,1.7235107,-0.0059814453
1252275,-0.006225586,1.0083618,0.38635254,0.3536377,1.7235107,-0.0059814453
1252285,0.022277832,0.8956909,0.38024902,0.3305664,1.7935791,-0.0037231445
1252296,0.03289795,0.8027344,0.36657715,0.30078125,1.798706,-0.024902344
1252305,0.07458496,0.69763184,0.35272217,0.2376709,1.8094482,-0.014038086
1252315,0.07458496,0.69763184,0.35272217,0.2376709,1.8094482,-0.014038086
1252326,0.119628906,0.6611328,0.3675537,0.17376709,1.7994385,-0.013366699
1252335,0.18310547,0.7282715,0.3951416,0.09484863,1.7786255,-0.0015258789
1252345,0.20471191,0.9524536,0.38952637,0.04248047,1.7289429,0.01159668
1252356,0.20471191,0.9524536,0.38952637,0.04248047,1.7289429,0.01159668
1252365,0.27301025,1.1619263,0.41351318,0.032592773,1.6596069,0.016296387
1252376,0.2800293,1.2703857,0.40820312,0.044555664,1.5716553,0.011962891
1252386,0.30773926,1.2053223,0.36669922,0.08709717,1.5332642,-0.0107421875
1252395,0.30773926,1.2053223,0.36669922,0.08709717,1.5332642,-0.0107421875
1252405,0.21380615,1.0725708,0.3694458,0.10638428,1.4898682,-0.05303955
1252416,0.09625244,0.95062256,0.34155273,0.11279297,1.4541626,-0.09283447
1252425,0.09625244,0.95062256,0.34155273,0.11279297,1.4541626,-0.09283447
1252436,0.018859863,0.90338135,0.32263184,0.113342285,1.4385376,-0.1003418
1252448,-0.061462402,0.9268799,0.32769775,0.103759766,1.4498901,-0.101989746
1252455,-0.08312988,0.9859009,0.35546875,0.103149414,1.4587402,-0.10394287
1252465,-0.08312988,0.9859009,0.35546875,0.103149414,1.4587402,-0.10394287
1252476,-0.061706543,1.0996094,0.38446045,0.13134766,1.4540405,-0.09033203
1252485,-0.024108887,1.2062988,0.44500732,0.16522217,1.4293823,-0.117126465
1252496,0.003967285,1.300293,0.46331787,0.20587158,1.4036255,-0.1552124
1252506,0.003967285,1.300293,0.46331787,0.20587158,1.4036255,-0.1552124
1252515,0.07598877,1.2631226,0.48583984,0.24609375,1.3988037,-0.13458252
