Time,X,Y,Z,Roll,Pitch,Yaw
44308,0.13085938,0.84399414,0.12854004,-0.28631592,0.084472656,0.12060547
44315,0.2290039,0.8157959,0.17370605,-0.26507568,0.08538818,0.14251709
44327,0.26141357,0.7839966,0.21325684,-0.20111084,0.052734375,0.1296997
44335,0.26141357,0.7839966,0.21325684,-0.20111084,0.052734375,0.1296997
44346,0.29119873,0.83599854,0.20635986,-0.1741333,0.012329102,0.09729004
44356,0.2993164,0.9024658,0.20941162,-0.17193604,-0.020629883,0.08996582
44366,0.28997803,1.0202637,0.2399292,-0.17773438,-0.055786133,0.05114746
44376,0.28997803,1.0202637,0.2399292,-0.17773438,-0.055786133,0.05114746
44385,0.25079346,1.0409546,0.29663086,-0.1720581,-0.06890869,0.04949951
44396,0.2210083,1.204773,0.3190918,-0.1486206,-0.055480957,0.022399902
44405,0.21466064,1.3039551,0.3289795,-0.11431885,-0.06628418,0.015197754
44416,0.21466064,1.3039551,0.3289795,-0.11431885,-0.06628418,0.015197754
44426,0.24383545,1.4702759,0.35357666,-0.06518555,-0.091552734,-0.017456055
44435,0.30541992,1.6297607,0.30029297,-0.024047852,-0.15216064,-0.03277588
44446,0.41174316,1.5766602,0.30395508,0.016113281,-0.17797852,-0.018737793
44456,0.41174316,1.5766602,0.30395508,0.016113281,-0.17797852,-0.018737793
44466,0.44335938,1.2915039,0.33026123,0.07147217,-0.16674805,-0.02557373
44475,0.39544678,1.0425415,0.34057617,0.15124512,-0.08148193,-0.040527344
44486,0.39544678,1.0425415,0.34057617,0.15124512,-0.08148193,-0.040527344
44496,0.35125732,1.7844849,0.20880127,0.22735596,-0.08648682,-0.12994385
44505,0.381958,1.5371704,0.17834473,0.2019043,-0.3381958,-0.1751709
44516,0.30975342,1.5852661,0.06903076,0.2774048,-0.31140137,-0.16827393
44526,0.30975342,1.5852661,0.06903076,0.2774048,-0.31140137,-0.16827393
44535,0.23730469,1.3589478,0.07385254,0.3375244,-0.1940918,-0.20269775
44546,0.1303711,1.1586914,0.008056641,0.38482666,-0.08892822,-0.21936035
44556,0.07397461,1.0355225,-0.030883789,0.380188,-0.008850098,-0.21838379
44565,0.07397461,1.0355225,-0.030883789,0.380188,-0.008850098,-0.21838379
44576,0.03277588,1.1199341,-0.26470947,0.36895752,0.0064086914,-0.1751709
44586,-0.040771484,1.3113403,-0.24090576,0.23742676,0.02166748,-0.15057373
44595,-0.040771484,1.3113403,-0.24090576,0.23742676,0.02166748,-0.15057373
44606,-0.051635742,1.1282349,-0.10913086,0.08123779,0.04333496,-0.08270264
